;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Northeastern Univers;2;2199;MA;I;531,000;467,000;998,000;23,000;460,000;600,000;410,000;520,000;20,000;26,000;11901,000;8492,000;2517,000;16,000;42,000;11160,000;10221,000;13380,000;13380,000;7425,000;3990,000;3435,000;186,000;600,000;1750,000;73,000;82,000;12,900;17,000;9563,000;46,000;688,000;525,000;460,000;543,000;880,000;689,000;599,000;705,000;236,000;260,000;176,000;0,000;730
Tufts University    ;2;2219;MA;I;;;;;610,000;700,000;540,000;630,000;;;7614,000;3605,000;1205,000;60,000;90,000;4598,000;;19701,000;19701,000;5968,000;3038,000;2930,000;503,000;600,000;928,000;99,000;;10,300;22,000;18981,000;92,000;735,000;549,000;447,000;592,000;964,000;710,000;607,000;777,000;148,000;157,000;98,000;2,000;405
University of Massac;1;2221;MA;I;;;;;460,000;590,000;410,000;520,000;;;14438,000;12414,000;3816,000;12,000;39,000;16282,000;1940,000;2220,000;8566,000;3897,000;1712,000;2185,000;3247,000;500,000;1400,000;88,000;92,000;16,700;15,000;10276,000;68,000;704,000;537,000;438,000;607,000;880,000;680,000;557,000;762,000;650,000;306,000;146,000;7,000;1172
Michigan State Unive;1;2290;MI;I;524,000;461,000;982,000;23,000;450,000;590,000;400,000;520,000;21,000;25,000;18114,000;15096,000;6180,000;23,000;57,000;26640,000;4120,000;4103,000;10658,000;3734,000;1646,000;2088,000;524,000;504,000;600,000;93,000;95,000;14,000;9,000;10520,000;71,000;651,000;493,000;413,000;555,000;843,000;663,000;569,000;732,000;949,000;494,000;350,000;47,000;1840
Wayne State Universi;1;2329;MI;I;;;;21,000;;;;;17,000;24,000;4219,000;3098,000;1543,000;;44,000;9778,000;10455,000;3271,000;7162,000;3271,000;;3271,000;;468,000;;85,000;88,000;10,900;;10538,000;41,000;683,000;525,000;447,000;535,000;846,000;664,000;560,000;669,000;317,000;267,000;216,000;8,000;925
Western Michigan Uni;1;2330;MI;I;;;;23,000;;;;;20,000;25,000;9167,000;7191,000;2738,000;24,000;53,000;15739,000;4278,000;2785,000;6940,000;4100,000;1675,000;2425,000;455,000;500,000;1700,000;80,000;84,000;24,700;11,000;5983,000;55,000;603,000;489,000;396,000;502,000;755,000;620,000;505,000;633,000;285,000;233,000;189,000;24,000;731
Mississippi State Un;1;2423;MS;I;;;;23,000;;;;;19,000;27,000;4255,000;3277,000;1609,000;18,000;57,000;10094,000;1621,000;4946,000;9866,000;3084,000;1684,000;1400,000;477,000;480,000;1479,000;77,000;77,000;15,900;20,000;6223,000;53,000;540,000;432,000;389,000;455,000;649,000;521,000;471,000;548,000;278,000;191,000;155,000;40,000;669
University of Missis;1;2440;MS;I;;;;;;;;;20,000;25,000;3844,000;3383,000;1669,000;26,000;47,000;7524,000;804,000;1996,000;4916,000;3810,000;1560,000;2250,000;548,000;600,000;550,000;81,000;86,000;20,300;14,000;6971,000;53,000;558,000;428,000;384,000;440,000;676,000;524,000;471,000;537,000;138,000;111,000;158,000;29,000;439
University of Southe;1;2441;MS;I;531,000;449,000;980,000;22,000;;;;;18,000;24,000;2850,000;2044,000;1046,000;20,000;50,000;9260,000;1387,000;2392,000;4652,000;2470,000;1120,000;1350,000;;500,000;500,000;78,000;99,000;18,700;23,000;5917,000;45,000;562,000;438,000;352,000;438,000;664,000;520,000;420,000;520,000;183,000;162,000;160,000;58,000;563
Saint Louis Universi;2;2506;MO;I;;;;;480,000;620,000;420,000;550,000;21,000;27,000;3294,000;2855,000;956,000;44,000;67,000;4576,000;1140,000;11690,000;11690,000;4730,000;2300,000;2430,000;80,000;800,000;6800,000;84,000;94,000;4,600;19,000;18367,000;67,000;657,000;475,000;402,000;500,000;783,000;575,000;484,000;600,000;133,000;111,000;120,000;31,000;395
University of Missou;1;2516;MO;I;564,000;502,000;1066,000;25,000;470,000;620,000;430,000;570,000;22,000;28,000;6574,000;4637,000;2940,000;32,000;62,000;14782,000;1583,000;3030,000;9057,000;3485,000;3485,000;;414,000;600,000;1983,000;87,000;87,000;12,700;15,000;10145,000;58,000;603,000;456,000;407,000;485,000;729,000;560,000;499,000;592,000;336,000;256,000;244,000;63,000;899
University of Missou;1;2517;MO;I;655,000;547,000;1202,000;27,000;590,000;710,000;480,000;600,000;25,000;31,000;1877,000;1826,000;823,000;49,000;77,000;3926,000;561,000;3030,000;9057,000;3600,000;;;551,000;700,000;1435,000;88,000;88,000;14,400;23,000;9699,000;49,000;663,000;508,000;454,000;564,000;802,000;626,000;557,000;686,000;114,000;79,000;56,000;4,000;253
University of Missou;1;2518;MO;I;;;;24,000;;;;;22,000;27,000;1901,000;1340,000;655,000;33,000;64,000;3416,000;1984,000;3475,000;9501,000;3685,000;1980,000;1705,000;;;;98,000;98,000;11,600;8,000;12453,000;44,000;580,000;445,000;381,000;473,000;702,000;545,000;467,000;577,000;151,000;167,000;107,000;9,000;434
University of Missou;1;2519;MO;I;;;;;;;;;20,000;25,000;1618,000;1141,000;479,000;18,000;54,000;4793,000;4552,000;2424,000;7246,000;3964,000;;;348,000;500,000;4288,000;71,000;73,000;13,400;15,000;6433,000;48,000;576,000;460,000;412,000;476,000;699,000;561,000;503,000;579,000;86,000;103,000;110,000;5,000;304
Washington Universit;2;2520;MO;I;;;;;600,000;710,000;510,000;620,000;26,000;31,000;7654,000;5259,000;1254,000;62,000;93,000;4879,000;1274,000;18350,000;18350,000;5775,000;3431,000;2344,000;184,000;768,000;1512,000;91,000;98,000;3,900;31,000;45702,000;90,000;782,000;534,000;451,000;601,000;952,000;652,000;540,000;730,000;264,000;136,000;175,000;18,000;620
Montana State Univer;1;2532;MT;I;520,000;440,000;960,000;23,000;450,000;600,000;390,000;510,000;20,000;25,000;3500,000;2836,000;1779,000;15,000;42,000;8730,000;993,000;1576,000;5552,000;3710,000;3710,000;;648,000;550,000;2300,000;75,000;83,000;17,600;8,000;6324,000;37,000;497,000;397,000;346,000;407,000;602,000;487,000;427,000;498,000;154,000;146,000;144,000;24,000;468
University of Montan;1;2536;MT;I;489,000;457,000;946,000;22,000;;;;;;;3314,000;2809,000;1563,000;;;7754,000;1388,000;2251,000;6311,000;3957,000;;;;550,000;;75,000;81,000;21,700;16,000;5862,000;30,000;446,000;365,000;323,000;392,000;537,000;442,000;395,000;474,000;200,000;79,000;95,000;16,000;390
University of Nebras;1;2565;NE;I;513,000;447,000;960,000;22,000;;;;;;;6277,000;6003,000;3526,000;33,000;63,000;16454,000;3171,000;2055,000;5595,000;3145,000;1375,000;1770,000;360,000;500,000;2070,000;86,000;92,000;15,100;48,000;6813,000;53,000;661,000;477,000;410,000;523,000;792,000;584,000;505,000;635,000;436,000;344,000;316,000;31,000;1127
University of Nevada;1;2568;NV;I;488,000;432,000;920,000;22,000;420,000;500,000;370,000;480,000;23,000;25,000;2868,000;2409,000;1524,000;;;5916,000;2939,000;1740,000;6490,000;4560,000;2635,000;1925,000;20,000;600,000;2900,000;78,000;80,000;15,400;12,000;10407,000;54,000;647,000;480,000;390,000;508,000;741,000;558,000;458,000;589,000;145,000;133,000;95,000;5,000;403
Dartmouth College   ;2;2573;NH;I;692,000;627,000;1319,000;;660,000;740,000;580,000;680,000;;;8587,000;2273,000;1087,000;87,000;99,000;3918,000;32,000;19545,000;19545,000;6070,000;3255,000;2815,000;105,000;550,000;1100,000;95,000;99,000;4,700;49,000;29619,000;98,000;785,000;536,000;429,000;610,000;1002,000;686,000;532,000;774,000;163,000;89,000;114,000;5,000;371
University of New Ha;1;2589;NH;I;536,000;476,000;1012,000;;480,000;600,000;430,000;530,000;;;9750,000;7640,000;2529,000;24,000;62,000;10358,000;1338,000;3550,000;11180,000;3862,000;1648,000;2214,000;830,000;650,000;2450,000;89,000;87,000;17,500;16,000;7855,000;75,000;587,000;454,000;375,000;482,000;729,000;575,000;483,000;607,000;196,000;253,000;127,000;0,000;576
Princeton University;2;2627;NJ;I;708,000;647,000;1355,000;;645,000;737,000;583,000;678,000;;;13218,000;2042,000;1153,000;90,000;98,000;4540,000;146,000;19900,000;19900,000;5910,000;2696,000;3214,000;400,000;675,000;1575,000;91,000;96,000;8,400;54,000;28320,000;99,000;963,000;564,000;437,000;749,000;1154,000;686,000;534,000;901,000;402,000;66,000;179,000;16,000;702
New Mexico Institute;1;2654;NM;I;;;;26,000;;;;;;;787,000;601,000;233,000;40,000;73,000;1017,000;411,000;1302,000;5376,000;3214,000;3214,000;;556,000;600,000;1100,000;99,000;;13,700;11,000;9241,000;34,000;538,000;421,000;405,000;448,000;648,000;512,000;494,000;544,000;39,000;32,000;29,000;5,000;108
New Mexico State Uni;1;2657;NM;I;;;;22,000;;;;;19,000;25,000;4119,000;3200,000;1663,000;;;9673,000;3481,000;1980,000;6432,000;3148,000;1588,000;1580,000;;550,000;1066,000;76,000;;19,600;;6106,000;40,000;524,000;433,000;360,000;434,000;641,000;531,000;444,000;533,000;202,000;167,000;196,000;17,000;582
Clarkson University ;2;2699;NY;I;612,000;518,000;1130,000;;570,000;660,000;450,000;580,000;;;2174,000;1953,000;557,000;35,000;68,000;2332,000;53,000;15960,000;15960,000;5580,000;2622,000;2958,000;323,000;700,000;1300,000;95,000;95,000;15,800;32,000;11659,000;77,000;703,000;515,000;475,000;563,000;875,000;658,000;593,000;707,000;55,000;58,000;43,000;5,000;161
Columbia University ;2;2707;NY;I;680,000;620,000;1300,000;;630,000;720,000;590,000;680,000;;;6756,000;1930,000;871,000;78,000;96,000;3376,000;55,000;18624,000;18624,000;6664,000;3740,000;2924,000;486,000;550,000;300,000;97,000;98,000;5,900;21,000;30639,000;99,000;882,000;554,000;452,000;687,000;1136,000;767,000;646,000;915,000;477,000;185,000;199,000;11,000;923
Cornell University  ;2;2711;NY;I;;;;;640,000;740,000;540,000;640,000;;;19227,000;7171,000;3286,000;81,000;95,000;13072,000;;19000,000;19000,000;6238,000;3658,000;2580,000;66,000;510,000;1060,000;91,000;91,000;6,900;22,000;22480,000;93,000;651,000;511,000;431,000;549,000;847,000;691,000;598,000;732,000;318,000;231,000;105,000;41,000;707
Fordham University  ;2;2722;NY;I;535,000;506,000;1041,000;;490,000;610,000;460,000;580,000;;;4200,000;2874,000;942,000;30,000;55,000;4740,000;1646,000;14235,000;14235,000;6965,000;6965,000;;170,000;600,000;1735,000;86,000;97,000;14,400;14,000;10864,000;80,000;744,000;573,000;444,000;590,000;945,000;729,000;557,000;748,000;166,000;183,000;140,000;9,000;498
Hofstra University  ;2;2732;NY;I;540,000;470,000;1010,000;24,000;480,000;590,000;430,000;560,000;23,000;27,000;7428,000;5860,000;1349,000;25,000;63,000;6534,000;1350,000;11600,000;11600,000;5920,000;3620,000;2300,000;650,000;1000,000;1000,000;81,000;90,000;13,900;10,000;10093,000;60,000;757,000;550,000;470,000;584,000;956,000;692,000;579,000;731,000;127,000;131,000;141,000;7,000;406
New York University ;2;2785;NY;I;604,000;542,000;1146,000;;550,000;650,000;490,000;600,000;;;13594,000;7244,000;2505,000;70,000;86,000;12408,000;2814,000;17748,000;17748,000;7262,000;;;991,000;450,000;1000,000;87,000;98,000;7,800;16,000;21227,000;71,000;887,000;591,000;507,000;683,000;1172,000;785,000;674,000;905,000;532,000;337,000;252,000;42,000;1231
Rensselaer Polytechn;2;2803;NY;I;;;;28,000;610,000;710,000;470,000;590,000;26,000;30,000;4996,000;4165,000;936,000;53,000;82,000;4291,000;16,000;17475,000;17475,000;5976,000;;;550,000;1230,000;1100,000;94,000;98,000;15,400;21,000;15605,000;70,000;750,000;548,000;475,000;640,000;922,000;703,000;601,000;799,000;190,000;118,000;61,000;0,000;369
SUNY at Albany      ;1;2835;NY;I;580,000;506,000;1086,000;;520,000;620,000;450,000;550,000;;;13528,000;9198,000;1843,000;16,000;61,000;10168,000;1231,000;2650,000;6550,000;4355,000;2950,000;1405,000;295,000;700,000;1560,000;93,000;96,000;17,400;16,000;9075,000;74,000;732,000;526,000;407,000;576,000;934,000;679,000;524,000;739,000;260,000;217,000;125,000;0,000;638
SUNY at Binghamton  ;1;2836;NY;I;615,000;533,000;1148,000;26,000;570,000;670,000;480,000;580,000;;;14463,000;6166,000;1757,000;60,000;94,000;8544,000;671,000;2650,000;6550,000;4598,000;2690,000;1908,000;360,000;700,000;1000,000;83,000;;18,000;15,000;8055,000;80,000;705,000;511,000;407,000;555,000;902,000;665,000;528,000;716,000;172,000;175,000;82,000;0,000;460
SUNY at Stony Brook ;1;2838;NY;I;542,000;464,000;1006,000;;480,000;595,000;410,000;510,000;;;12512,000;6969,000;1724,000;27,000;66,000;9744,000;1351,000;2650,000;6550,000;4712,000;4712,000;;295,000;600,000;1200,000;91,000;96,000;10,500;7,000;13705,000;57,000;755,000;534,000;414,000;589,000;961,000;688,000;526,000;751,000;346,000;216,000;183,000;24,000;801
Syracuse University ;2;2882;NY;I;;;;;520,000;640,000;450,000;560,000;;;10477,000;7260,000;2442,000;28,000;67,000;10142,000;117,000;15150,000;15150,000;6870,000;3620,000;3250,000;360,000;635,000;960,000;73,000;84,000;11,300;13,000;14231,000;67,000;648,000;475,000;394,000;526,000;851,000;645,000;528,000;701,000;371,000;301,000;205,000;10,000;891
University of Roches;2;2894;NY;I;;;;;550,000;670,000;470,000;590,000;23,000;29,000;8766,000;5498,000;1243,000;56,000;75,000;5071,000;438,000;17840,000;17840,000;6582,000;3978,000;2604,000;410,000;500,000;882,000;93,000;99,000;5,900;23,000;26037,000;80,000;747,000;520,000;434,000;611,000;895,000;626,000;520,000;733,000;252,000;130,000;110,000;7,000;508
Duke University     ;2;2920;NC;I;687,000;615,000;1302,000;30,000;640,000;740,000;570,000;670,000;28,000;32,000;13789,000;3893,000;1583,000;90,000;98,000;6188,000;53,000;18590,000;18590,000;5950,000;2996,000;2954,000;480,000;625,000;1162,000;95,000;96,000;5,000;44,000;27206,000;97,000;854,000;584,000;459,000;699,000;1055,000;728,000;553,000;862,000;330,000;149,000;141,000;0,000;620
North Carolina State;1;2972;NC;I;578,000;493,000;1071,000;;510,000;630,000;440,000;530,000;;;10634,000;7064,000;3176,000;39,000;78,000;16505,000;5481,000;874,000;8400,000;6540,000;1640,000;1900,000;710,000;600,000;1300,000;92,000;98,000;17,500;21,000;9670,000;62,000;665,000;475,000;417,000;505,000;797,000;578,000;508,000;610,000;463,000;345,000;200,000;12,000;1235
University of North ;1;2974;NC;I;594,000;527,000;1121,000;;530,000;530,000;460,000;570,000;;;14596,000;5985,000;3331,000;75,000;92,000;14609,000;1100,000;874,000;8400,000;4200,000;2040,000;2160,000;606,000;550,000;1200,000;88,000;93,000;8,900;23,000;15893,000;83,000;701,000;512,000;410,000;565,000;837,000;620,000;498,000;678,000;572,000;329,000;212,000;18,000;1268
University of North ;1;2976;NC;I;499,000;457,000;956,000;;450,000;550,000;400,000;500,000;;;5191,000;4134,000;1500,000;15,000;44,000;7532,000;1847,000;931,000;8677,000;3505,000;1715,000;1790,000;958,000;600,000;1300,000;75,000;94,000;15,500;17,000;7392,000;53,000;610,000;443,000;377,000;435,000;735,000;540,000;461,000;529,000;140,000;178,000;135,000;8,000;572
University of North ;1;3005;ND;I;535,000;465,000;1000,000;23,000;460,000;610,000;390,000;520,000;19,000;25,000;2777,000;2249,000;1652,000;20,000;54,000;8334,000;1435,000;2110,000;5634,000;2703,000;1033,000;1670,000;318,000;450,000;1200,000;97,000;97,000;15,900;16,000;9424,000;49,000;460,000;391,000;345,000;379,000;572,000;489,000;431,000;473,000;130,000;124,000;163,000;27,000;472
Bowling Green State ;1;3018;OH;I;497,000;449,000;946,000;22,000;430,000;550,000;390,000;500,000;20,000;24,000;9251,000;7333,000;3076,000;14,000;45,000;13699,000;1213,000;3070,000;7452,000;3352,000;1968,000;1384,000;660,000;600,000;1700,000;81,000;89,000;21,100;14,000;6918,000;67,000;620,000;481,000;394,000;483,000;817,000;644,000;530,000;643,000;226,000;212,000;180,000;65,000;690
Case Western Reserve;2;3024;OH;I;;;;;600,000;740,000;490,000;640,000;26,000;32,000;3877,000;3156,000;713,000;71,000;93,000;3051,000;513,000;15700,000;15700,000;4730,000;2960,000;1770,000;125,000;525,000;1460,000;95,000;95,000;2,900;29,000;19733,000;67,000;754,000;518,000;470,000;585,000;948,000;663,000;600,000;744,000;213,000;133,000;126,000;58,000;530
Kent State Universit;1;3051;OH;I;462,000;424,000;886,000;21,000;390,000;520,000;360,000;480,000;18,000;23,000;9210,000;3040,000;7425,000;10,000;30,000;15615,000;3230,000;3927,000;7854,000;3666,000;;;;500,000;1350,000;81,000;86,000;20,800;;6397,000;46,000;654,000;473,000;389,000;502,000;810,000;602,000;505,000;636,000;221,000;244,000;203,000;14,000;682
Ohio University     ;1;3100;OH;I;520,000;473,000;993,000;24,000;460,000;580,000;420,000;530,000;21,000;26,000;11023,000;8298,000;3183,000;21,000;54,000;14861,000;1310,000;3552,000;7629,000;4095,000;2013,000;2082,000;357,000;550,000;2300,000;79,000;87,000;20,400;13,000;8811,000;64,000;632,000;486,000;393,000;512,000;786,000;618,000;512,000;648,000;248,000;241,000;192,000;4,000;687
University of Akron ;1;3123;OH;I;467,000;413,000;880,000;20,000;399,000;599,000;349,000;475,000;17,000;23,000;6305,000;5190,000;3211,000;;;12487,000;9295,000;2888,000;7650,000;3844,000;2454,000;1390,000;304,000;550,000;2100,000;71,000;80,000;16,700;18,000;6025,000;43,000;577,000;448,000;387,000;479,000;718,000;567,000;497,000;603,000;278,000;253,000;147,000;39,000;717
University of Cincin;1;3125;OH;I;533,000;464,000;997,000;23,000;460,000;610,000;400,000;520,000;20,000;26,000;6855,000;5553,000;2408,000;26,000;57,000;11036,000;2011,000;3234,000;8907,000;4697,000;2703,000;1994,000;498,000;556,000;1851,000;89,000;95,000;10,800;6,000;13889,000;54,000;666,000;483,000;393,000;535,000;856,000;622,000;506,000;688,000;447,000;410,000;244,000;12,000;1113
University of Toledo;1;3131;OH;I;504,000;447,000;951,000;20,000;430,000;640,000;390,000;560,000;19,000;25,000;3055,000;2959,000;1527,000;;;15428,000;5370,000;2693,000;7441,000;3719,000;2564,000;1155,000;706,000;550,000;500,000;81,000;83,000;20,400;5,000;6124,000;48,000;608,000;457,000;379,000;486,000;750,000;572,000;481,000;607,000;217,000;152,000;167,000;20,000;556
Oklahoma State Unive;1;3170;OK;I;540,000;477,000;1017,000;24,000;470,000;610,000;420,000;540,000;21,000;26,000;4522,000;3913,000;2181,000;29,000;57,000;12830,000;1658,000;1889,000;5336,000;3344,000;1758,000;1588,000;40,000;800,000;3100,000;84,000;92,000;15,300;14,000;6433,000;48,000;532,000;409,000;373,000;449,000;655,000;509,000;460,000;555,000;342,000;247,000;181,000;11,000;794
University of Oklaho;1;3184;OK;I;;;;24,000;;;;;21,000;27,000;4743,000;3970,000;2233,000;32,000;63,000;13436,000;2582,000;1737,000;5173,000;3526,000;;;166,000;765,000;3176,000;86,000;90,000;11,500;11,000;10244,000;44,000;600,000;445,000;368,000;470,000;752,000;563,000;468,000;593,000;286,000;225,000;236,000;24,000;778
Oregon State Univers;1;3210;OR;I;522,000;443,000;965,000;22,000;445,000;585,000;382,000;502,000;18,000;26,000;4675,000;3948,000;1637,000;;;10332,000;929,000;2841,000;7890,000;3444,000;1388,000;2056,000;50,000;543,000;2244,000;88,000;88,000;13,900;;9383,000;45,000;597,000;473,000;400,000;475,000;762,000;615,000;522,000;615,000;206,000;209,000;133,000;46,000;622
Portland State Unive;1;3216;OR;I;484,000;416,000;900,000;22,000;410,000;550,000;350,000;480,000;19,000;23,000;1623,000;1574,000;837,000;;;6194,000;4992,000;;;4365,000;2565,000;1800,000;;750,000;1098,000;78,000;78,000;20,000;18,000;6618,000;24,000;544,000;437,000;382,000;474,000;693,000;564,000;498,000;609,000;205,000;113,000;77,000;16,000;411
University of Oregon;1;3223;OR;I;;;;;470,000;600,000;430,000;540,000;;;8631,000;6732,000;2546,000;25,000;61,000;11669,000;1605,000;3090,000;10602,000;3660,000;;;;570,000;1530,000;79,000;87,000;19,700;13,000;8020,000;54,000;597,000;446,000;375,000;459,000;762,000;579,000;488,000;594,000;240,000;182,000;152,000;89,000;671
Carnegie Mellon Univ;2;3242;PA;I;679,000;555,000;1234,000;28,000;630,000;740,000;500,000;620,000;26,000;31,000;8728,000;5201,000;1191,000;60,000;89,000;4265,000;291,000;17900,000;17900,000;5690,000;3520,000;2170,000;;450,000;1250,000;86,000;93,000;9,200;31,000;24386,000;74,000;829,000;566,000;499,000;678,000;994,000;691,000;617,000;820,000;256,000;138,000;125,000;4,000;523
Drexel University   ;2;3256;PA;I;550,000;465,000;1015,000;;480,000;610,000;410,000;520,000;;;3451,000;2934,000;1118,000;23,000;50,000;5306,000;1963,000;12348,000;12348,000;6180,000;3630,000;2550,000;728,000;500,000;2280,000;;84,000;13,100;18,000;9583,000;61,000;674,000;496,000;459,000;568,000;843,000;619,000;570,000;709,000;153,000;114,000;73,000;0,000;341
Lehigh University   ;2;3289;PA;I;;;;;570,000;680,000;460,000;570,000;;;6397,000;4304,000;1092,000;40,000;84,000;4298,000;132,000;18700,000;18700,000;5580,000;3160,000;2420,000;250,000;750,000;1130,000;96,000;99,000;12,500;43,000;14665,000;91,000;757,000;543,000;448,000;635,000;955,000;700,000;568,000;805,000;216,000;118,000;77,000;4,000;416
Temple University   ;1;3371;PA;I;508,000;455,000;963,000;;456,000;564,000;412,000;511,000;;;7987,000;5145,000;2399,000;15,000;37,000;14726,000;4666,000;5314,000;10096,000;5282,000;3492,000;1790,000;150,000;600,000;3324,000;87,000;;11,200;;12231,000;45,000;736,000;579,000;454,000;606,000;913,000;724,000;568,000;755,000;490,000;332,000;291,000;37,000;1150
University of Pennsy;2;3378;PA;I;680,000;594,000;1274,000;29,000;640,000;730,000;550,000;650,000;27,000;31,000;12394,000;5232,000;2464,000;85,000;;9205,000;531,000;17020,000;17020,000;7270,000;3700,000;3570,000;1836,000;500,000;1544,000;95,000;96,000;6,300;38,000;25765,000;93,000;881,000;622,000;532,000;744,000;1086,000;831,000;712,000;945,000;541,000;240,000;212,000;0,000;993
University of Pittsb;1;3379;PA;I;537,000;480,000;1017,000;;480,000;590,000;420,000;530,000;;;8586,000;6383,000;2503,000;25,000;59,000;13138,000;4289,000;4962,000;10786,000;4560,000;2760,000;1800,000;454,000;400,000;900,000;93,000;93,000;7,800;10,000;13789,000;66,000;736,000;516,000;421,000;547,000;910,000;653,000;537,000;688,000;427,000;402,000;373,000;63,000;1325
Brown University    ;2;3401;RI;I;680,000;620,000;1300,000;28,000;640,000;730,000;570,000;680,000;26,000;32,000;12586,000;3239,000;1462,000;87,000;95,000;5643,000;349,000;19528,000;19528,000;5926,000;3574,000;2352,000;650,000;720,000;1100,000;99,000;;7,600;39,000;20440,000;97,000;752,000;515,000;433,000;625,000;956,000;659,000;554,000;797,000;286,000;;111,000;0,000;514
University of Rhode ;1;3414;RI;I;515,000;449,000;964,000;;460,000;560,000;400,000;490,000;;;9643,000;7751,000;1968,000;12,000;40,000;8894,000;2456,000;3004,000;10330,000;5558,000;3168,000;2390,000;1238,000;500,000;1250,000;84,000;89,000;16,600;7,000;9158,000;63,000;630,000;473,000;416,000;541,000;813,000;622,000;548,000;703,000;334,000;187,000;135,000;3,000;659
Clemson University  ;1;3425;SC;I;565,000;487,000;1052,000;;530,000;620,000;430,000;510,000;;;8065,000;5257,000;2301,000;37,000;65,000;11755,000;770,000;3036,000;8116,000;3610,000;1890,000;1720,000;;800,000;1618,000;82,000;88,000;18,000;17,000;7597,000;73,000;602,000;441,000;375,000;466,000;728,000;544,000;465,000;571,000;296,000;224,000;191,000;42,000;801
University of South ;1;3448;SC;I;520,000;465,000;985,000;22,000;460,000;580,000;400,000;520,000;19,000;25,000;7693,000;5815,000;2328,000;30,000;66,000;12594,000;3661,000;3196,000;8074,000;3522,000;3522,000;;;495,000;2941,000;84,000;88,000;16,900;18,000;8246,000;63,000;585,000;436,000;385,000;475,000;705,000;532,000;472,000;577,000;417,000;335,000;194,000;60,000;1034
University of Memphi;1;3509;TN;I;;;;22,000;;;;;20,000;26,000;3921,000;2557,000;1691,000;;;10621,000;4864,000;1974,000;5908,000;2500,000;1633,000;;68,000;500,000;900,000;77,000;80,000;16,900;11,000;6578,000;33,000;558,000;425,000;376,000;443,000;674,000;522,000;464,000;542,000;264,000;194,000;193,000;71,000;722
University of Tennes;1;3530;TN;I;525,000;468,000;993,000;23,000;460,000;590,000;410,000;530,000;21,000;26,000;7473,000;5372,000;3013,000;27,000;53,000;15749,000;3237,000;1830,000;5764,000;3262,000;1584,000;1678,000;222,000;750,000;3300,000;86,000;92,000;16,500;22,000;8612,000;53,000;600,000;454,000;402,000;501,000;756,000;570,000;500,000;630,000;535,000;325,000;202,000;65,000;1139
Vanderbilt Universit;2;3535;TN;I;640,000;559,000;1199,000;28,000;590,000;690,000;510,000;610,000;26,000;30,000;7791,000;4690,000;1499,000;71,000;92,000;5500,000;90,000;17865,000;17865,000;6525,000;4132,000;2393,000;964,000;630,000;952,000;93,000;98,000;5,800;26,000;23850,000;83,000;807,000;522,000;432,000;612,000;988,000;651,000;538,000;756,000;289,000;160,000;177,000;9,000;657
University of North ;1;3594;TX;I;526,000;467,000;993,000;23,000;460,000;590,000;420,000;520,000;20,000;24,000;4418,000;2737,000;2049,000;23,000;51,000;14047,000;5134,000;672,000;4104,000;3579,000;1840,000;1739,000;650,000;450,000;1700,000;86,000;94,000;22,600;6,000;5657,000;35,000;551,000;443,000;382,000;448,000;674,000;550,000;479,000;555,000;249,000;203,000;234,000;5,000;751
Rice University     ;2;3604;TX;I;;;;;665,000;763,000;592,000;708,000;;;7935,000;1514,000;633,000;87,000;95,000;2674,000;;9950,000;9950,000;5725,000;3100,000;2625,000;365,000;525,000;1330,000;91,000;;8,600;39,000;22836,000;91,000;809,000;548,000;481,000;663,000;992,000;682,000;593,000;816,000;224,000;89,000;91,000;8,000;422
Southern Methodist U;2;3613;TX;I;;;;;;;;;22,000;27,000;4301,000;3455,000;1166,000;41,000;69,000;4892,000;387,000;12772,000;12772,000;5078,000;2652,000;2426,000;;576,000;1802,000;74,000;88,000;13,500;17,000;12726,000;72,000;733,000;505,000;463,000;550,000;918,000;636,000;570,000;687,000;158,000;154,000;135,000;5,000;483
Texas Christian Univ;2;3636;TX;I;;;;;460,000;600,000;420,000;540,000;21,000;27,000;4095,000;3079,000;1195,000;33,000;64,000;5064,000;660,000;8490,000;8490,000;3320,000;1920,000;1400,000;990,000;650,000;2400,000;81,000;93,000;14,800;23,000;9158,000;64,000;654,000;477,000;423,000;511,000;811,000;599,000;518,000;632,000;107,000;109,000;99,000;9,000;336
Texas Southern Unive;1;3642;TX;I;390,000;420,000;810,000;19,000;;;;;;;4345,000;3245,000;2604,000;15,000;85,000;5584,000;3101,000;780,000;7860,000;3360,000;1680,000;1680,000;;600,000;1700,000;65,000;75,000;18,200;21,000;3605,000;10,000;551,000;455,000;366,000;423,000;684,000;573,000;469,000;535,000;83,000;82,000;104,000;50,000;331
